name,nationality,first hired,1901 primary rank,1901 date promoted to primary,1901 secondary job,1901 date promoted to secondary,1901 other details,1901 location/last port,1901 on leave?,1906 primary rank,1906 date promoted to primary,1906 secondary job,1906 date promoted to secondary,1906 other details,1906 location/last port,1906 on leave?
C. O. F. Jacobsson,Swedish,1899 November,Watcher,,,,,Lappa,,,,,,,,
V. Kuster,American,1899 December,Watcher,,,,,Lappa,,,,,,,,
W. Keeler,British,1901 January,Watcher,,,,,Canton,,,,,,,,
E. J. Simons,British,1901 April,Watcher,,,,,Shanghai,,,,,,,,
F. A. Mack,American,1901 April,Watcher,,,,,Shanghai,,,,,,,,
W. Smith,British,1901 May,Watcher,,,,,Shanghai,,,,,,,,
R. Neut,Belgian,1901 May,Watcher,,,,,Shanghai,,,,,,,,
F. J. Fishlock,British,1901 May,Watcher,,,,,Kowloon,,,,,,,,
F. Scott,British,1901 May,Watcher,,,,,Kowloon,,,,,,,,
M. J. Isaac,British,1901 May,Watcher,,,,,Kowloon,,,,,,,,
J. W. Hill,British,1901 May,Watcher,,,,,Kowloon,,,,,,,,
A. G. McDonald,British,1901 June,Watcher,,,,,Shanghai,,,,,,,,
W. T. B. Rowlands,British,1901 June,Watcher,,,,,Shanghai,,,,,,,,
O. C. Miller,German,1901 June,Watcher,,,,,Kowloon,,,,,,,,
O. H. Miller,German,1901 June,Watcher,,,,,Kowloon,,,,,,,,
E. Pillis,Austrian,1901 June,Watcher,,,,,Kowloon,,,,,,,,
J. W. Adams,British,1901 June,Watcher,,,,,Kowloon,,,,,,,,
A. F. Fosberg,British,1901 June,Watcher,,,,,Shanghai,,,,,,,,
J. Johnson,British,1901 June,Watcher,,,,,Shanghai,,,,,,,,
W. C. Holmes,British,1901 June,Watcher,,,,,Shanghai,,,,,,,,
J. B. Pillow,British,1901 June,Watcher,,,,,Kowloon,,,,,,,,
C. Tromp,Dutch,1901 June,Watcher,,,,,Shanghai,,,,,,,,
W. J. Livesey,British,1901 June,Watcher,,,,,Kowloon,,,,,,,,
F. G. Veitch,British,1901 June,Watcher,,,,,Canton,,,,,,,,
C. A. Bergerowski,German,1901 June,Watcher,,,,,Canton,,,,,,,,
J. C. Veir,British,1901 June,Watcher,,,,,Canton,,,,,,,,
J. Dick,British,1901 June,Watcher,,,,,Shanghai,,,,,,,,
J. A. Dick,British,1901 July,Watcher,,,,,Shanghai,,,,,,,,
J. W. Mesny,British,1884 June,Salt Watcher,,,,,Chinkiang,,,,,,,,
M. Doong,Spanish,1892 January,Salt Watcher,,,,,Hankow,,,,,,,,
H. L. Hamlyn,British,1898 November,Salt Watcher,,,,,Chinkiang,,,,,,,,
M. Asumcio,Spanish,1899 October,Supernumerary Watcher,,,,,Shanghai,,,,,,,,
Sultan Bux,British,1899 November,Supernumerary Watcher,,,,Indian?,Shanghai,,,,,,,,
Nabee Khan,British,1899 November,Supernumerary Watcher,,,,Indian?,Shanghai,,,,,,,,
Matra Das,British,1899 November,Supernumerary Watcher,,,,Indian?,Shanghai,,,,,,,,
Niamat Khan,British,1899 December,Supernumerary Watcher,,,,Indian?,Shanghai,,,,,,,,
J. Angulo,Spanish,1899 December,Supernumerary Watcher,,,,,Hankow,,,,,,,,
Ram Nasain,British,1900 May,Supernumerary Watcher,,,,Indian?,Shanghai,,,,,,,,
T. Andrades,Spanish,1900 May,Supernumerary Watcher,,,,,Shanghai,,,,,,,,
C. Pelayo,Spanish,1900 June,Supernumerary Watcher,,,,,Shanghai,,,,,,,,
B. Manaban,Spanish,1900 July,Supernumerary Watcher,,,,,Hankow,,,,,,,,
V. de la Cruz,Spanish,1901 January,Supernumerary Watcher,,,,,Shanghai,,,,,,,,
F. Miralles,Spanish,1901 February,Supernumerary Watcher,,,,,Shanghai,,,,,,,,
L. Manalos,Spanish,1901 February,Supernumerary Watcher,,,,,Shanghai,,,,,,,,
Buta Singh,British,1901 March,Supernumerary Watcher,,,,,Shanghai,,,,,,,,
Abdul Kariem,British,1901 May,Supernumerary Watcher,,,,,Shanghai,,,,,,,,
N. Julian,Spanish,1889 December,Watchman (Outdoor),,,,Statistical Department.,Shanghai,,,,,,,,
Saramin Seedin,British,1890 December,Watchman (Outdoor),,,,,Amoy,,,,,,,,
Ali Krouk,Siamese,1891 July,Watchman (Outdoor),,,,,Swatow,,,,,,,,
Ah Boo,Siamese,1892 November,Watchman (Outdoor),,,,,Swatow,,,,,,,,
A Pau,Siamese,1893 April,Watchman (Outdoor),,,,,Swatow,,,,,,,,
A Sam,Siamese,1899 June,Watchman (Outdoor),,,,,Swatow,,,,,,,,
Sabidin Seedin,British,1900 October,Watchman (Outdoor),,,,,Amoy,,,,,,,,
G. Adams,American,1900 January,"Station Watcher, A",,,,,Lappa,,,,,,,,
M. Dobinson,British,1900 February,"Station Watcher, A",,,,,Lappa,,,,,,,,
K. E. W. Lindstrom,Swedish,1900 March,"Station Watcher, A",,,,,Lappa,,,,,,,,
A. Jansson,Swedish,1900 May,"Station Watcher, A",,,,,Lappa,,,,,,,,
J. L. Carr,American,1900 June,"Station Watcher, A",,,,,Lappa,,,,,,,,
H. E. Trepkowski,German,1900 August,"Station Watcher, A",,,,,Lappa,,,,,,,,
F. Renn,American,1900 November,"Station Watcher, A",,,,,Lappa,,,,,,,,
W. Griffin,British,1900 December,"Station Watcher, A",,,,,Lappa,,,,,,,,
C. B. Berglöf,Swedish,1900 December,"Station Watcher, A",,,,,Lappa,,,,,,,,
P. F. McMahon,British,1900 December,"Station Watcher, A",,,,,Lappa,,,,,,,,
G. Honniball,British,1900 December,"Station Watcher, A",,,,,Lappa,,,,,,,,
P. Cummins,British,1900 December,"Station Watcher, A",,,,,Lappa,,,,,,,,
F. Ambroise,French,1901 April,"Station Watcher, A",,,,,Lappa,,,,,,,,
A. M. Mortensen,Danish,1901 April,"Station Watcher, A",,,,,Lappa,,,,,,,,
R. Travis,British,1901 April,"Station Watcher, A",,,,,Lappa,,,,,,,,
F. H. Morris,British,1901 April,"Station Watcher, A",,,,,Lappa,,,,,,,,
M. F. d'Assis,Portuguese,1895 February,"Station Watcher, B",,,,,Lappa,,,,,,,,
L. L. Lopes,Portuguese,1896 April,"Station Watcher, B",,,,,Kowloon,,,,,,,,
A. J. da Silva,Portuguese,1899 July,"Station Watcher, B",,,,,Lappa,,,,,,,,
A. Z. de Souza,Portuguese,1900 March,"Station Watcher, B",,,,,Lappa,,,,,,,,
A. Fernandez,Portuguese,1901 January,"Station Watcher, B",,,,,Lappa,,,,,,,,
Nutta Singh,British,1892 September,"Station Watcher, C",,,,Indian?,Lappa,,,,,,,,
Hokum Singh,British,1895 July,"Station Watcher, C",,,,Indian?,Lappa,,,,,,,,
Mongul Singh,British,1896 April,"Station Watcher, C",,,,Indian?,Lappa,,,,,,,,
Janda Singh,British,1896 September,"Station Watcher, C",,,,Indian?,Lappa,,,,,,,,
Rual Singh,British,1897 June,"Station Watcher, C",,,,Indian?,Lappa,,,,,,,,
Boor Singh,British,1897 August,"Station Watcher, C",,,,Indian?,Lappa,,,,,,,,
Bertah Singh,British,1897 August,"Station Watcher, C",,,,Indian?,Lappa,,,,,,,,
Sander Singh,British,1897 October,"Station Watcher, C",,,,Indian?,Lappa,,,,,,,,
Chunda Singh,British,1898 March,"Station Watcher, C",,,,Indian?,Lappa,,,,,,,,
Gordett Singh,British,1899 August,"Station Watcher, C",,,,Indian?,Lappa,,,,,,,,
Sujan Singh,British,1899 December,"Station Watcher, C",,,,Indian?,Lappa,,,,,,,,
Kishun Singh,British,1900 January,"Station Watcher, C",,,,Indian?,Lappa,,,,,,,,
Chanda Singh,British,1900 January,"Station Watcher, C",,,,Indian?,Lappa,,,,,,,,
Subar Singh,British,1900 March,"Station Watcher, C",,,,Indian?,Lappa,,,,,,,,
Bissan Singh,British,1900 April,"Station Watcher, C",,,,Indian?,Lappa,,,,,,,,
Isher Singh,British,1900 August,"Station Watcher, C",,,,Indian?,Lappa,,,,,,,,
Soonder Singh,British,1900 August,"Station Watcher, C",,,,Indian?,Lappa,,,,,,,,
Odham Singh,British,1900 September,"Station Watcher, C",,,,Indian?,Lappa,,,,,,,,
Besander Singh,British,1900 October,"Station Watcher, C",,,,Indian?,Lappa,,,,,,,,
Jewalla Singh,British,1900 October,"Station Watcher, C",,,,Indian?,Lappa,,,,,,,,
Bucktow Singh,British,1900 November,"Station Watcher, C",,,,Indian?,Lappa,,,,,,,,
Mullah Singh,British,1900 December,"Station Watcher, C",,,,Indian?,Lappa,,,,,,,,
Godded Singh,British,1900 December,"Station Watcher, C",,,,Indian?,Lappa,,,,,,,,
Nund Singh,British,1900 December,"Station Watcher, C",,,,Indian?,Lappa,,,,,,,,
Kishen Singh,British,1900 December,"Station Watcher, C",,,,Indian?,Lappa,,,,,,,,
Lell Singh,British,1901 January,"Station Watcher, C",,,,Indian?,Lappa,,,,,,,,
Tunna Singh,British,1901 January,"Station Watcher, C",,,,Indian?,Lappa,,,,,,,,
Bag Singh,British,1901 February,"Station Watcher, C",,,,Indian?,Lappa,,,,,,,,
Bagat Singh,British,1901 March,"Station Watcher, C",,,,Indian?,Lappa,,,,,,,,
Rada Singh,British,1901 March,"Station Watcher, C",,,,Indian?,Lappa,,,,,,,,
Patti Singh,British,1901 April,"Station Watcher, C",,,,Indian?,Lappa,,,,,,,,
Kissan Singh,British,1901 April,"Station Watcher, C",,,,Indian?,Lappa,,,,,,,,
Nand Singh,British,1901 June,"Station Watcher, C",,,,Indian?,Lappa,,,,,,,,
M. A. H. Fischer,German,1903 April,,,,,,,,"Second Assistant, A",1904 April,,,,Kiaochow,
O. Rettberg,German,1901 December,,,,,,,,"Fourth Assistant, A",1905 July,,,,Tientsin,
F. W. H. C. G. Biester,German,1902 July,,,,,,,,"Fourth Assistant, A",1905 July,,,,Kiaochow,
J. F. Knäpel,German,1904 January,,,,,,,,"Fourth Assistant, B",1906 February,,,,Kiaochow,
J. F. Puvogel,German,1905 June,,,,,,,,"Fourth Assistant, C",1905 June,,,,Kiaochow,
E. Dipper,German,1903 May,,,,,,,,Surgeon,,,,,Kiaochow,
E. H. H. Koenig,German,1904 December,,,,,,,,Surgeon,,,,,Kiaochow,
F. F. Henke,German,1901 July,,,,,,,,Second Class Tidewaiter,1905 April,,,,Kiaochow,
W. A. Hempel,German,1903 September,,,,,,,,Second Class Tidewaiter,1906 January,,,,Kiaochow,
H. G. W. Schlesiger,German,1903 June,,,,,,,,Third Class Tidewaiter,1904 July,,,,Kiaochow,
P. E. Schütz,German,1903 June,,,,,,,,Third Class Tidewaiter,1904 July,,,,Kiaochow,
A. E. Hallgreen,German,1904 May,,,,,,,,Third Class Tidewaiter,1905 May,,,,Kiaochow,
A. A. G. A. Rehberg,German,1904 November,,,,,,,,Third Class Tidewaiter,1905 June,,,,Kiaochow,
W. C. B. Schoppe,German,1904 December,,,,,,,,Third Class Tidewaiter,1905 December,,,,Kiaochow,
H. Hensel,German,1905 April,,,,,,,,Third Class Tidewaiter,1906 April,,,,Kiaochow,
R. W. R. Rieck,German,1905 May,,,,,,,,Third Class Tidewaiter,1906 May,,,,Kiaochow,
H. J. Philipp,German,1905 July,,,,,,,,Third Class Tidewaiter,1906 May,,,,Kiaochow,
M. Haile,German,1905 July,,,,,,,,Probationary Tidewaiter,1906 January,,,,Kiaochow,
J. G. Trimborn,German,1905 September,,,,,,,,Probationary Tidewaiter,1906 March,,,,Kiaochow,
L. Euler,German,1906 January,,,,,,,,Watcher,,,,,Kiaochow,
F. E. Lottermoser,German,1906 February,,,,,,,,Watcher,,,,,Kiaochow,
C. F. Klare,German,1906 February,,,,,,,,Watcher,,,,,Kiaochow,
E. P. Pretzsch,German,1906 March,,,,,,,,Watcher,,,,,Kiaochow,
