name,nationality,first hired,1901 primary rank,1901 date promoted to primary,1901 secondary job,1901 date promoted to secondary,1901 other details,1901 location/last port,1901 on leave?,1906 primary rank,1906 date promoted to primary,1906 secondary job,1906 date promoted to secondary,1906 other details,1906 location/last port,1906 on leave?
A. L. T. Clément,Belgian,1897 April,Third Class Tidewaiter,1897 August,,,,Foochow,,,,,,,,
T. Foster,British,1897 April,Third Class Tidewaiter,1897 August,,,,Chefoo,,,,,,,,
A. Myers,British,1897 August,Third Class Tidewaiter,1897 August,,,,Shanghai,,,,,,,,
J. Geddes,British,1896 January,Third Class Tidewaiter,1897 September,,,,Ningpo,,,,,,,,
C. H. Bailey,British,1897 July,Third Class Tidewaiter,1897 October,,,,Hankow,,,,,,,,
G. Dougherty,American,1897 July,Third Class Tidewaiter,1897 October,,,,Ningpo,,,,,,,,
R. M. Tismar,American,1897 October,Third Class Tidewaiter,1897 October,,,,Tientsin,,,,,,,,
C. A. Bray,British,1897 July,Third Class Tidewaiter,1897 November,,,,Wenchow,,,,,,,,
M. L. Kristensen,Danish,1897 July,Third Class Tidewaiter,1897 November,,,,Shanghai,,,,,,,,
A. J. Lewis,American,1897 August,Third Class Tidewaiter,1897 November,,,,Tientsin,,,,,,,,
W. Howard,American,1897 May,Third Class Tidewaiter,1897 November,,,,Swatow,,,,,,,,
H. Olsen,German,1897 June,Third Class Tidewaiter,1897 December,,,,Swatow,,,,,,,,
O. J. M. Höyem,Norwegian,1897 May,Third Class Tidewaiter,1897 December,,,,Amoy,,,,,,,,
A. L. Urquhart,British,1897 March,Third Class Tidewaiter,1897 December,,,,Hankow,,,,,,,,
H. Bone,British,1897 May,Third Class Tidewaiter,1898 January,,,,Wuchow,,,,,,,,
D. Duchamp,French,1898 February,Third Class Tidewaiter,1898 February,,,,Tientsin,,,,,,,,
E. H. A. Freitag,German,1896 August,Third Class Tidewaiter,1898 February,,,,Hangchow,,,,,,,,
F. R. G. da Cruz,Portuguese,1897 May,Third Class Tidewaiter,1898 February,,,,Pakhoi,,,,,,,,
C. Kirwin,British,1897 June,Third Class Tidewaiter,1898 February,,,,Lappa,,,,,,,,
B. Pedersen,Danish,1897 June,Third Class Tidewaiter,1898 March,,,,Canton,,,,,,,,
H. J. Pless,British,1897 October,Third Class Tidewaiter,1898 March,,,,Tientsin,,,,,,,,
A. Butler,British,1897 November,Third Class Tidewaiter,1898 April,,,,Tientsin,,,,,,,,
W. Allen,British,1898 January,Third Class Tidewaiter,1898 April,,,,Hankow,,,,,,,,
J. S. Enright,British,1898 February,Third Class Tidewaiter,1898 April,,,,Shanghai,,,,,,,,
T. Lamb,British,1898 February,Third Class Tidewaiter,1898 April,,,,Shanghai,,,,,,,,
W. H. Campkin,British,1897 August,Third Class Tidewaiter,1898 May,,,,Wuchow,,,,,,,,
B. Collins,British,1897 August,Third Class Tidewaiter,1898 May,,,,Kowloon,,,,,,,,
M. S. Husted,American,1897 August,Third Class Tidewaiter,1898 May,,,,Kowloon,,,,,,,,
W. F. Nelson,British,1897 October,Third Class Tidewaiter,1898 June,,,,Wuhu,,,,,,,,
F. Bénard,American,1898 February,Third Class Tidewaiter,1898 June,,,,Hankow,,,,,,,,
F. C. Irwin,American,1898 February,Third Class Tidewaiter,1898 June,,,At Kashing.,Hangchow,,,,,,,,
J. Wolff,German,1897 October,Third Class Tidewaiter,1898 June,,,,Newchwang,,Assistant Examiner,1904 January,,,,Kiaochow,
J. J. Woods,British,1898 March,Third Class Tidewaiter,1898 June,,,,Ichang,,,,,,,,
L. J. Bahr,German,1898 May,Third Class Tidewaiter,1898 June,,,,Kiukiang,,,,,,,,
J. Dawson,British,1887 September,Third Class Tidewaiter,1898 July,,,,Chefoo,,,,,,,,
J. A. Rule,American,1897 January,Third Class Tidewaiter,1898 July,,,,Samshui,,,,,,,,
W. B. Andrews,British,1898 April,Third Class Tidewaiter,1898 July,,,,Shanghai,,,,,,,,
R. Wood,British,1896 December,Third Class Tidewaiter,1898 July,,,,Foochow,,,,,,,,
J. Brian,British,1898 July,Third Class Tidewaiter,1898 July,,,,Swatow,,,,,,,,
S. Mitchell,British,1898 June,Third Class Tidewaiter,1898 July,,,,Yochow,,,,,,,,
J. A. Reynolds,British,1898 July,Third Class Tidewaiter,1898 July,,,,Hankow,,,,,,,,
N. B. Gregory,British,1898 August,Third Class Tidewaiter,1898 August,,,,Shanghai,,,,,,,,
A. Nichol,British,1898 August,Third Class Tidewaiter,1898 August,,,,Ningpo,,,,,,,,
D. Silver,British,1897 August,Third Class Tidewaiter,1898 September,,,,Foochow,,,,,,,,
